arquivo, 30, 29.8, 29.6, 29.4, 29.2,29, 28.8, 28.6, 28.4, 28.2,28, 27.8, 27.6, 27.4, 27.2,27, 26.8, 26.6, 26.4, 26.2,26, 25.8, 25.6, 25.4, 25.2,25, 24.8, 24.6, 24.4, 24.2,24, 23.8, 23.6, 23.4, 23.2,23, 22.8, 22.6, 22.4, 22.2,22, 21.8, 21.6, 21.4, 21.2,21, 20.8, 20.6, 20.4, 20.2,20, 19.8, 19.6, 19.4, 19.2,19, 18.8, 18.6, 18.4, 18.2,18, 17.8, 17.6, 17.4, 17.2,17, 16.8, 16.6, 16.4, 16.2,16, 15.8, 15.6, 15.4, 15.2,15, 14.8, 14.6, 14.4, 14.2,14, 13.8, 13.6, 13.4, 13.2,13, 12.8, 12.6, 12.4, 12.2,12, 11.8, 11.6, 11.4, 11.2,11, 10.8, 10.6, 10.4, 10.2,10, 9.8, 9.6, 9.4, 9.2,9, 8.8, 8.6, 8.4, 8.2,8, 7.8, 7.6, 7.4, 7.2,7, 6.8, 6.6, 6.4, 6.2,6, 5.8, 5.6, 5.4, 5.2,5, 4.8, 4.6, 4.4, 4.2,4, 3.8, 3.6, 3.4, 3.2,3, 2.8, 2.6, 2.4, 2.2,2, 1.8, 1.6, 1.4, 1.2,1, 0.8, 0.6, 0.4, 0.2,pdbid,family,superfamily
./docs/examples/pdb_files/cs1_cadeias/1a4l_A.pdb,42252,41835,41406,40998,40568,40147,39681,39256,38797,38351,37901,37428,36997,36532,36088,35621,35139,34655,34178,33688,33195,32724,32260,31805,31331,30851,30402,29907,29489,29040,28581,28112,27633,27177,26711,26220,25773,25291,24801,24383,23949,23495,23038,22586,22115,21689,21257,20803,20374,19929,19514,19115,18662,18222,17828,17470,17046,16655,16256,15853,15448,15076,14711,14385,14028,13642,13284,12907,12537,12210,11820,11474,11133,10808,10457,10142,9824,9497,9152,8799,8460,8165,7882,7562,7277,7011,6740,6491,6192,5922,5679,5425,5169,4922,4698,4481,4255,4025,3803,3578,3356,3130,2944,2767,2611,2462,2288,2136,1986,1886,1783,1710,1632,1577,1518,1438,1377,1304,1212,1129,1032,933,827,652,527,435,394,371,355,353,349,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1A4L,adenosine deaminase,amidohydrolase
./docs/examples/pdb_files/cs1_cadeias/1eju_B.pdb,4108,4088,4071,4048,4032,4016,4003,3987,3974,3957,3940,3919,3899,3882,3870,3844,3826,3808,3789,3773,3749,3728,3704,3683,3657,3627,3604,3577,3555,3525,3489,3456,3428,3400,3369,3344,3308,3267,3231,3199,3167,3141,3101,3057,3012,2979,2942,2911,2880,2831,2799,2762,2717,2681,2643,2588,2548,2494,2457,2412,2379,2335,2293,2269,2228,2186,2147,2091,2054,2008,1957,1913,1868,1819,1775,1714,1673,1636,1587,1543,1499,1460,1417,1371,1335,1286,1236,1196,1149,1117,1081,1036,993,959,923,893,857,818,783,747,698,657,636,603,576,539,514,485,454,427,411,396,380,368,352,337,316,290,264,238,227,207,180,148,126,118,112,112,109,104,101,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1EJU,urease,amidohydrolase
./docs/examples/pdb_files/cs1_cadeias/1gkp_C.pdb,61849,61194,60527,59863,59149,58455,57800,57129,56393,55712,55016,54322,53671,52963,52213,51500,50804,50104,49406,48737,48029,47344,46639,45939,45250,44583,43846,43175,42466,41717,41057,40375,39651,38966,38239,37598,36892,36194,35481,34799,34106,33466,32837,32203,31503,30830,30213,29579,28962,28348,27719,27079,26473,25882,25268,24642,24051,23472,22892,22320,21761,21183,20613,20056,19554,19042,18525,18035,17502,16989,16495,16006,15554,15051,14552,14072,13600,13174,12741,12251,11776,11314,10901,10500,10091,9705,9331,8931,8574,8212,7882,7539,7234,6907,6600,6272,5931,5622,5309,4988,4709,4414,4148,3914,3712,3495,3266,3034,2807,2649,2521,2397,2280,2181,2066,1956,1865,1738,1616,1467,1326,1213,1086,891,735,615,548,507,483,465,459,268,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1GKP,d-hydantoinase,amidohydrolase
./docs/examples/pdb_files/cs1_cadeias/1krc_B.pdb,4107,4090,4073,4052,4034,4016,4005,3989,3975,3957,3938,3921,3902,3885,3868,3848,3828,3810,3792,3771,3752,3730,3702,3689,3656,3628,3600,3577,3556,3524,3493,3458,3433,3405,3374,3349,3315,3271,3233,3203,3172,3136,3103,3060,3016,2982,2945,2905,2886,2840,2803,2765,2726,2689,2649,2595,2548,2498,2456,2412,2383,2338,2299,2270,2232,2189,2147,2099,2056,2010,1962,1919,1867,1822,1770,1720,1674,1635,1590,1549,1498,1464,1419,1371,1340,1284,1235,1195,1156,1120,1080,1036,1001,965,927,891,861,822,784,742,698,657,637,607,580,540,512,479,452,430,411,395,382,371,357,337,314,288,259,236,224,205,180,148,123,117,112,112,109,105,101,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1KRC,urease,amidohydrolase
./docs/examples/pdb_files/cs1_cadeias/1p48_A.pdb,56402,55797,55172,54589,53967,53313,52686,52057,51393,50755,50118,49455,48813,48159,47538,46912,46265,45613,44961,44332,43667,42999,42366,41729,41142,40477,39865,39233,38594,37956,37288,36680,36092,35529,34933,34314,33702,33089,32542,31924,31338,30715,30134,29569,29004,28447,27844,27307,26701,26147,25569,24970,24419,23889,23390,22870,22336,21824,21293,20770,20248,19771,19227,18737,18254,17759,17267,16797,16340,15879,15407,14923,14486,14009,13584,13129,12715,12295,11872,11404,10980,10574,10206,9815,9487,9122,8760,8387,8039,7658,7332,7030,6746,6418,6125,5866,5580,5255,4946,4688,4402,4123,3882,3680,3453,3250,3030,2806,2617,2451,2342,2227,2121,2026,1947,1842,1762,1663,1557,1413,1288,1169,1047,836,679,560,500,475,458,443,437,99,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1P48,enolase,enolase
./docs/examples/pdb_files/cs1_cadeias/1rjp_A.pdb,64469,63744,63022,62312,61602,60874,60147,59484,58752,58052,57284,56597,55851,55074,54400,53644,52901,52197,51445,50703,50013,49329,48547,47834,47098,46380,45693,44984,44268,43521,42802,42029,41301,40595,39921,39207,38490,37733,37049,36365,35670,35020,34306,33629,32975,32269,31627,30960,30294,29631,28988,28355,27664,27002,26392,25793,25146,24560,23921,23351,22733,22149,21618,21054,20472,19899,19362,18802,18250,17742,17268,16768,16267,15776,15287,14778,14292,13805,13327,12814,12356,11896,11424,10978,10534,10125,9732,9327,8942,8556,8196,7850,7536,7213,6883,6578,6241,5895,5578,5238,4900,4591,4320,4072,3827,3586,3362,3143,2951,2783,2647,2543,2401,2283,2175,2055,1927,1789,1647,1526,1391,1252,1082,909,754,628,569,530,506,487,477,165,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1RJP,n-acyl-d-amino-acid deacylase,amidohydrolase
./docs/examples/pdb_files/cs1_cadeias/2dvt_A.pdb,36747,36428,36051,35670,35292,34926,34572,34176,33812,33428,33019,32643,32211,31829,31446,31027,30619,30225,29835,29436,29012,28628,28224,27851,27454,27045,26660,26272,25841,25449,25026,24613,24167,23760,23354,22951,22564,22162,21786,21404,21030,20643,20265,19857,19474,19069,18693,18282,17933,17571,17240,16851,16456,16096,15752,15408,15066,14696,14333,13982,13636,13313,12998,12645,12318,12035,11711,11399,11065,10752,10451,10152,9868,9549,9244,8954,8659,8370,8048,7746,7450,7174,6918,6658,6406,6177,5923,5669,5463,5206,4971,4766,4559,4348,4152,3946,3741,3525,3329,3165,2978,2787,2614,2479,2345,2201,2071,1923,1785,1680,1601,1530,1469,1425,1372,1312,1247,1182,1117,1013,906,844,745,602,489,411,365,347,332,327,327,95,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2DVT,gamma-resorcylate decarboxylase,amidohydrolase
./docs/examples/pdb_files/cs1_cadeias/2o4m_B.pdb,41004,40635,40253,39864,39487,39088,38666,38224,37797,37361,36972,36544,36117,35713,35259,34815,34359,33906,33506,33057,32635,32187,31794,31345,30910,30466,30009,29539,29084,28604,28144,27672,27249,26786,26313,25850,25436,24991,24556,24107,23646,23217,22764,22305,21900,21465,21043,20639,20219,19780,19353,18939,18533,18105,17668,17269,16866,16460,16079,15714,15323,14916,14563,14195,13857,13493,13134,12760,12407,12059,11693,11363,11021,10681,10343,10019,9697,9359,9044,8705,8379,8078,7789,7484,7205,6915,6624,6385,6100,5858,5599,5369,5116,4886,4657,4431,4241,4014,3777,3566,3366,3124,2916,2741,2579,2427,2268,2121,1986,1875,1783,1702,1640,1574,1518,1441,1376,1295,1209,1112,1008,917,827,668,531,441,400,375,358,349,347,100,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2O4M,phosphotriesterase,amidohydrolase
./docs/examples/pdb_files/cs1_cadeias/2qjj_C.pdb,45164,44732,44271,43771,43264,42796,42288,41825,41376,40883,40357,39883,39387,38935,38482,38000,37488,36957,36437,35913,35417,34933,34429,33926,33416,32918,32447,31946,31421,30931,30437,29958,29477,28938,28463,28000,27489,26977,26486,25975,25506,25017,24556,24056,23583,23151,22710,22277,21834,21401,20955,20541,20099,19634,19182,18743,18315,17891,17490,17087,16651,16261,15843,15465,15098,14710,14311,13964,13527,13164,12788,12421,12028,11670,11308,10952,10606,10263,9918,9563,9210,8875,8564,8266,7946,7647,7346,7040,6769,6495,6223,5948,5673,5445,5203,4978,4756,4518,4244,3992,3746,3514,3308,3122,2944,2766,2599,2419,2264,2136,2034,1937,1863,1792,1715,1613,1524,1434,1335,1218,1101,1004,889,720,594,499,450,424,405,391,385,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2QJJ,mannonate dehydratase,enolase
